scene,dur,scene_a,scene_b,cor_resp,jitter,path,cond,Instructions5.thisRepN,Instructions5.thisTrialN,Instructions5.thisN,Instructions5.thisIndex,Int_All_Runs.thisRepN,Int_All_Runs.thisTrialN,Int_All_Runs.thisN,Int_All_Runs.thisIndex,Int_Run.thisRepN,Int_Run.thisTrialN,Int_Run.thisN,Int_Run.thisIndex,key_resp_8.keys,key_resp_8.rt,Resp.keys,Resp.corr,Resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
11.png,8.468560955733523,10.png,3.png,j,6.89127753156216,blue,No_Int,,,,,0,0,0,0,0,0,0,0,space,17.993948068000464,j,1,0.874071718999403,31,001,2019_Oct_20_1337,Integration Scanner Trials,3.0.1,59.86558428252165,
16.png,7.401281696050045,10.png,9.png,j,5.090236596889687,blue,No_Int,,,,,0,0,0,0,0,1,1,1,,,j,1,1.607505919999312,31,001,2019_Oct_20_1337,Integration Scanner Trials,3.0.1,59.86558428252165,
5.png,7.80346439156399,14.png,12.png,j,6.982842790991298,blue,No_Int,,,,,0,0,0,0,0,2,2,2,,,j,1,2.3022330940002576,31,001,2019_Oct_20_1337,Integration Scanner Trials,3.0.1,59.86558428252165,
12.png,5.087555220755659,15.png,7.png,j,6.461039330343438,blue,No_Int,,,,,0,0,0,0,0,3,3,3,,,j,1,1.2216499740006839,31,001,2019_Oct_20_1337,Integration Scanner Trials,3.0.1,59.86558428252165,
8.png,8.129630846093658,10.png,9.png,j,6.976954935133362,blue,No_Int,,,,,0,0,0,0,0,4,4,4,,,j,1,1.6026070509997226,31,001,2019_Oct_20_1337,Integration Scanner Trials,3.0.1,59.86558428252165,
10.png,7.926974445545255,8.png,1.png,k,5.651296257577126,blue,No_Int,,,,,0,0,0,0,0,5,5,5,,,k,1,1.655703094999808,31,001,2019_Oct_20_1337,Integration Scanner Trials,3.0.1,59.86558428252165,
4.png,5.711183588473918,14.png,12.png,j,6.918678484578215,blue,No_Int,,,,,0,0,0,0,0,6,6,6,,,j,1,1.4152544799999305,31,001,2019_Oct_20_1337,Integration Scanner Trials,3.0.1,59.86558428252165,
13.png,8.125773495513265,7.png,5.png,j,6.038169958817424,blue,No_Int,,,,,0,0,0,0,0,7,7,7,,,j,1,2.5984477760002846,31,001,2019_Oct_20_1337,Integration Scanner Trials,3.0.1,59.86558428252165,
10.png,5.117495611676251,11.png,2.png,k,6.573066298915812,green,Int,,,,,0,0,0,0,0,8,8,8,,,k,1,2.154372136999882,31,001,2019_Oct_20_1337,Integration Scanner Trials,3.0.1,59.86558428252165,
2.png,8.473652201357346,7.png,11.png,k,5.558697179223329,green,Int,,,,,0,0,0,0,0,9,9,9,,,None,0,,31,001,2019_Oct_20_1337,Integration Scanner Trials,3.0.1,59.86558428252165,
11.png,5.177590677341517,7.png,14.png,j,6.459471265567201,green,Int,,,,,0,0,0,0,0,10,10,10,,,k,0,2.809942117000901,31,001,2019_Oct_20_1337,Integration Scanner Trials,3.0.1,59.86558428252165,
4.png,5.834064213682391,1.png,2.png,j,5.727884957609141,green,Int,,,,,0,0,0,0,0,11,11,11,,,j,1,2.037455712999872,31,001,2019_Oct_20_1337,Integration Scanner Trials,3.0.1,59.86558428252165,
5.png,8.205758283554541,3.png,13.png,k,5.890094155579179,green,Int,,,,,0,0,0,0,0,12,12,12,,,k,1,1.898027708999507,31,001,2019_Oct_20_1337,Integration Scanner Trials,3.0.1,59.86558428252165,
1.png,8.87202419105731,2.png,8.png,j,6.082757916083825,green,Int,,,,,0,0,0,0,0,13,13,13,,,j,1,1.0798203710000962,31,001,2019_Oct_20_1337,Integration Scanner Trials,3.0.1,59.86558428252165,
9.png,8.76489049498619,7.png,14.png,j,5.224927279959228,green,Int,,,,,0,0,0,0,0,14,14,14,,,j,1,1.8909796790003384,31,001,2019_Oct_20_1337,Integration Scanner Trials,3.0.1,59.86558428252165,
16.png,7.641484488324044,9.png,2.png,k,5.722581880246092,green,Int,,,,,0,0,0,0,0,15,15,15,,,j,0,1.8891049750000093,31,001,2019_Oct_20_1337,Integration Scanner Trials,3.0.1,59.86558428252165,
14.png,8.702124647416799,5.png,13.png,j,6.306621180448469,green,Int,,,,,0,0,0,0,0,16,16,16,,,k,0,2.42484153300029,31,001,2019_Oct_20_1337,Integration Scanner Trials,3.0.1,59.86558428252165,
15.png,8.127793380856941,16.png,4.png,k,6.395918103762823,green,Int,,,,,0,0,0,0,0,17,17,17,,,j,0,1.8023778209999364,31,001,2019_Oct_20_1337,Integration Scanner Trials,3.0.1,59.86558428252165,
13.png,8.219643465949815,16.png,4.png,k,5.295107538145067,green,Int,,,,,0,0,0,0,0,18,18,18,,,j,0,2.3865873400000055,31,001,2019_Oct_20_1337,Integration Scanner Trials,3.0.1,59.86558428252165,
12.png,5.238515732058211,14.png,7.png,k,5.559212758331671,green,Int,,,,,0,0,0,0,0,19,19,19,,,k,1,1.8930531530004373,31,001,2019_Oct_20_1337,Integration Scanner Trials,3.0.1,59.86558428252165,
7.png,8.453779365028502,13.png,15.png,j,5.911845575754252,green,Int,,,,,0,0,0,0,0,20,20,20,,,j,1,1.4732012629992823,31,001,2019_Oct_20_1337,Integration Scanner Trials,3.0.1,59.86558428252165,
6.png,6.144406529256423,15.png,4.png,j,6.820169122829617,green,Int,,,,,0,0,0,0,0,21,21,21,,,None,0,,31,001,2019_Oct_20_1337,Integration Scanner Trials,3.0.1,59.86558428252165,
3.png,7.341919650025056,2.png,9.png,j,6.37082277305506,green,Int,,,,,0,0,0,0,0,22,22,22,,,k,0,1.6313980439999796,31,001,2019_Oct_20_1337,Integration Scanner Trials,3.0.1,59.86558428252165,
8.png,6.556239172116959,7.png,6.png,j,6.816367576939307,green,Int,,,,,0,0,0,0,0,23,23,23,,,j,1,1.4210753999996086,31,001,2019_Oct_20_1337,Integration Scanner Trials,3.0.1,59.86558428252165,
